raw_character_text,spoken_words
Moe Szyslak,What's the matter Homer? You're not your normal effervescent self.
Homer Simpson,"I got my problems, Moe. Give me another one."
Moe Szyslak,"Homer, hey, you should not drink to forget your problems."
Barney Gumble,"Yeah, you should only drink to enhance your social skills."
C. Montgomery Burns,"We'll get the Simpsons a present, an extravagant present! A mad, unthinkable, utterly impossible present! A frabulous, grabulous, zip-zoop-zabulous present!"
C. Montgomery Burns,"Ooo, too practical."
C. Montgomery Burns,Too cutesy-poo.
C. Montgomery Burns,Too cornball.
C. Montgomery Burns,A pool table? Are you mad? I'm not gonna turn his home into a saloon.
C. Montgomery Burns,Eureka! We've found it!
Waylon Smithers,"B-but, sir... it's thirty-two thousand dollars."
C. Montgomery Burns,Don't you dare sully this moment with your price taggery! It's perfect!
Homer Simpson,"Oh, woe is me."
Marge Simpson,"Oh, my! It's Mr. Burns."
Homer Simpson,
C. Montgomery Burns,Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho!
Lisa Simpson,"Wait, Dad, he's smiling."
Homer Simpson,"Mr. Burns, you brought us a present."
C. Montgomery Burns,"Why, what did you think I was going to do -- have you beaten to a bloody pulp?"
C. Montgomery Burns,"To show there's no hard feelings, please take an advance copy of my book, ""Will There Ever Be A Rainbow?"" And now, young fellow, I haven't forgotten you. Here."
Bart Simpson,Wow! A crowbar!
Lisa Simpson,"It's to open the crate, stupid."
Homer Simpson,"What did I tell you? I'll bet it's filled with diamonds, rubies, sapphires, pearls..."
Bart Simpson,Wow! A big ugly head!
C. Montgomery Burns,"Actually, son, it's a big, ugly Olmec Indian head. It was carved by Meso-American Indians over 3,000 years ago. This gruesome customer is Xt'tapalatakettle, the god of war."
Bart Simpson,Awesome!
Lisa Simpson,"No, Maggie. Not Az-tec. Ol-mec. Ol-mec."
Homer Simpson,"Marge, what does it do?"
Marge Simpson,It doesn't do anything.
Homer Simpson,"Marge! Really, what does it do?"
Marge Simpson,"Whatever it does, it's doing it now."
C. Montgomery Burns,"Well, I'll let you get acquainted with Se?Ÿ?ñor Xt'tapalatakettle. Ta!"
C. Montgomery Burns,"Did you see their faces, Smithers?"
Waylon Smithers,"Sir, you're my god of generosity."
Homer Simpson,"Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock."
Bart Simpson,"Hey, man, don't bad-mouth the head."
Marge Simpson,"Homer, it's the thought that counts. The moral of this story is, ""A good deed is its own reward."""
Bart Simpson,"Hey, we got a reward. The head is cool!"
Marge Simpson,"Well then, I guess the moral is, ""No good deed goes unrewarded."""
Homer Simpson,"Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!"
Marge Simpson,"Well... then I guess the moral is, ""The squeaky wheel gets the grease."""
Lisa Simpson,Perhaps there is no moral to this story.
Homer Simpson,Exactly. It's just a bunch of stuff that happened.
Marge Simpson,But it certainly was a memorable few days!
Homer Simpson,Amen to that!
Lisa Simpson,"Bart... Bart... Hey, Bart."
Bart Simpson,Lisa? It's six a.m. Something's wrong! Dad died!
Lisa Simpson,"No, no. He's fine."
Bart Simpson,"Well, what do you know? I'm relieved."
Lisa Simpson,"Bart, my birthday is in two days. I'm gonna be eight years old. It's a big number -- almost double digits."
Bart Simpson,"Well, enjoy it while you can. Everything changes when you hit the big one-oh. Your legs start to go... candy doesn't taste as good anymore --"
Bart Simpson,Lisa did it.
Lisa Simpson,"Bart, will you please let me pour my little heart out?"
Bart Simpson,"Sorry, this old timer does ramble on sometimes, don't he?"
Lisa Simpson,"Bart, I do so much for you and yet you have disappointed me on every one of my birthdays. I've made things for you. But you've lost or broken them in hours... but, okay, we'll forget all..."
Bart Simpson,"Okay, uh-huh. Okay, okay,. Okay, okay, okay okay, it's done! I'm doing it! Birthday gift coming your way!"
Lisa Simpson,"Oh, thank you."
Marge Simpson,"Bart, watch Maggie while I get the laundry."
Bart Simpson,Can do.
Bart Simpson,Hm... Krusty hotline.
Krusty the Clown,"Hi kids! You've reached the Krusty Hotline. If you haven't asked your parents' permission, naughty naughty! But Krusty forgives you! Two dollars for the first minute, fifty cents for each additional minute."
Krusty the Clown,Thanks for calling kids! A new message every day.
Marge Simpson,Maggie!
Marge Simpson,"Bart, I asked you to watch your sister!"
Bart Simpson,I tried to stop her but she overpowered me.
Homer Simpson,Who stole my shirt? Who stole my shirt?
Marge Simpson,I washed it.
Homer Simpson,"Oh thank you, Marge -- Pink?"
Homer Simpson,"Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different."
Marge Simpson,"Now Homer, don't panic. You have plenty of white shirts."
Homer Simpson,"Oh, gimme, gimme, gimme, gimme, gimme!"
Homer Simpson,"Oh no... Pink. Pink! PINK! It's all over, Marge. It's all over."
Marge Simpson,I don't know how this could have happened.
Bart Simpson,"Ah, my lucky red hat. Clean as a whistle!"
Homer Simpson,You! You did this to me!
Marge Simpson,"Homer, please. No one's going to notice if you wear a pink shirt to work."
